United States,37,24,33,94
Russia,32,28,29,89
China,28,16,14,58
Australia,16,25,17,58
Germany,13,17,26,56
France,13,14,11,38
Italy,13,8,13,34
Netherlands,12,9,4,25
Cuba,11,11,7,29
Great Britain,11,10,7,28
Romania,11,6,9,26
South Korea,8,10,10,28
Hungary,8,6,3,17
Poland,6,5,3,14
Japan,5,8,5,18
Bulgaria,5,6,2,13
Greece,4,6,3,13
Sweden,4,5,3,12
Norway,4,3,3,10
Ethiopia,4,1,3,8
Ukraine,3,10,10,23
Kazakhstan,3,4,0,7
Belarus,3,3,11,17
Canada,3,3,8,14
Spain,3,3,5,11
Turkey,3,0,2,5
Iran,3,0,1,4
Czech Republic,2,3,3,8
Kenya,2,3,2,7
Denmark,2,3,1,6
Finland,2,1,1,4
Austria,2,1,0,3
Lithuania,2,0,3,5
Azerbaijan,2,0,1,3
Slovenia,2,0,0,2
Bahamas,2,0,0,2
Switzerland,1,6,2,9
Indonesia,1,3,2,6
Slovakia,1,3,1,5
Mexico,1,2,3,6
Algeria,1,1,3,5
Uzbekistan,1,1,2,4
Latvia,1,1,1,3
Yugoslavia,1,1,1,3
New Zealand,1,0,3,4
Estonia,1,0,2,3
Thailand,1,0,2,3
Croatia,1,0,1,2
Cameroon,1,0,0,1
Colombia,1,0,0,1
Mozambique,1,0,0,1
Brazil,0,6,6,12
Jamaica,0,5,4,9
Nigeria,0,3,0,3
Belgium,0,2,3,5
South Africa,0,2,3,5
Argentina,0,2,2,4
Chinese Taipei,0,1,4,5
Morocco,0,1,4,5
North Korea,0,1,3,4
Moldova,0,1,1,2
Saudi Arabia,0,1,1,2
Trinidad and Tobago,0,1,1,2
Ireland,0,1,0,1
Uruguay,0,1,0,1
Vietnam,0,1,0,1
Sri Lanka,0,1,0,1
Georgia,0,0,6,6
Costa Rica,0,0,2,2
Portugal,0,0,2,2
Armenia,0,0,1,1
Barbados,0,0,1,1
Chile,0,0,1,1
Iceland,0,0,1,1
India,0,0,1,1
Israel,0,0,1,1
Kuwait,0,0,1,1
Kyrgyzstan,0,0,1,1
Macedonia,0,0,1,1
Qatar,0,0,1,1
