Afghanistan,3,0,0,0,0,19535
Albania,7,0,0,0,0,11849
Algeria,63,0,0,0,0,104529
American Samoa,5,0,0,0,0,0
Andorra,8,0,0,0,0,0
Angola,31,0,0,0,0,10836
Antigua and Barbuda,9,0,0,0,0,0
Argentina,156,2,0,4,6,323609
Armenia,19,0,0,0,0,22052
Aruba,4,0,0,0,0,0
Australia,482,17,16,16,49,472265
Austria,101,2,4,1,7,176795
Azerbaijan,38,1,0,4,5,29644
Bahamas,41,1,0,1,2,0
Bahrain,6,0,0,0,0,3997
Bangladesh,4,0,0,0,0,138328
Barbados,10,0,0,0,0,0
Belarus,151,2,6,7,15,84943
Belgium,62,1,0,2,3,225609
Belize,2,0,0,0,0,0
Benin,4,0,0,0,0,10138
Bermuda,10,0,0,0,0,0
Bhutan,2,0,0,0,0,0
Bolivia,7,0,0,0,0,23396
Bosnia and Herzegovina,9,0,0,0,0,0
Botswana,11,0,0,0,0,8115
Brazil,247,5,2,3,10,1076423
British Virgin Islands,1,0,0,0,0,0
Brunei,1,0,0,0,0,0
Bulgaria,165,2,1,9,12,50785
Burkina Faso,5,0,0,0,0,13208
Burundi,7,0,0,0,0,3627
Cambodia,4,0,0,0,0,23944
Cameroon,17,1,0,0,1,19941
Canada,262,3,6,3,12,769405
Cape Verde,3,0,0,0,0,867
Cayman Islands,5,0,0,0,0,0
Central African Republic,4,0,0,0,0,2114
Chad,2,0,0,0,0,6600
Chile,56,2,0,1,3,181775
China,407,32,17,14,63,6699034
Colombia,51,0,0,2,2,229067
Comoros,3,0,0,0,0,0
DR Congo,4,0,0,0,0,0
Congo,5,0,0,0,0,0
Cook Islands,3,0,0,0,0,0
Costa Rica,20,0,0,0,0,26448
Côte d'Ivoire,5,0,0,0,0,20720
Croatia,83,1,2,2,5,33931
Cuba,151,9,7,11,27,30879
Cyprus,20,0,0,0,0,0
Czech Republic,142,1,3,4,8,106318
Denmark,92,2,0,6,8,127175
Djibouti,1,0,0,0,0,528
Dominica,2,0,0,0,0,0
Dominican Republic,33,1,0,0,1,33446
Ecuador,17,0,0,0,0,47604
Egypt,96,1,1,3,5,237546
El Salvador,8,0,0,0,0,18021
Equatorial Guinea,2,0,0,0,0,9052
Eritrea,4,0,0,1,1,0
Estonia,44,0,1,2,3,20978
Ethiopia,28,2,3,2,7,0
Fiji,10,0,0,0,0,0
Finland,62,0,2,0,2,112500
France,317,11,9,13,33,1329614
Gabon,6,0,0,0,0,5029
Gambia,2,0,0,0,0,1434
Georgia,32,2,2,0,4,20157
Germany,479,13,16,20,49,1589449
Ghana,29,0,0,0,0,30197
Great Britain,259,9,9,12,30,1331721
Greece,441,6,6,4,16,152462
Grenada,5,0,0,0,0,0
Guam,4,0,0,0,0,0
Guatemala,18,0,0,0,0,48184
Guinea,3,0,0,0,0,5459
Guinea-Bissau,3,0,0,0,0,0
Guyana,4,0,0,0,0,0
Haiti,8,0,0,0,0,0
Honduras,5,0,0,0,0,14193
Hong Kong,32,0,1,0,1,178216
Hungary,219,8,6,3,17,85761
Iceland,26,0,0,0,0,0
India,73,0,1,0,1,2426453
Indonesia,38,1,1,2,4,0
Iran,37,2,2,2,6,373743
Iraq,25,0,0,0,0,25256
Ireland,52,0,0,0,0,100745
Israel,36,1,0,1,2,105360
Italy,364,10,11,11,32,1120504
Jamaica,47,2,1,2,5,10151
Japan,312,16,9,12,37,2750543
Jordan,8,0,0,0,0,25765
Kazakhstan,114,1,4,3,8,126402
Kenya,46,1,4,2,7,33968
Kiribati,3,0,0,0,0,0
North Korea,36,0,4,1,5,25310
